process_id,process_name,domain,criticality_level,impact_financial_score,impact_reputational_score,impact_legal_regulatory_score,impact_operational_score,time_to_severe_impact,aggregate_impact_score,loss_scenario_id,loss_scenario_type,loss_scenario_description,affected_impact_dimensions,mtd_hours,rto_hours,rpo_minutes,minimum_operational_capacity,priority_tier
P041,API Gateway - Corporate Payments,Channels,Critical,5,4,4,4,Immediate,5,S041,Outage,Corporate payment APIs unavailable for treasury and ERP integrations,Finance+Operational+Reputation,2,0.5,10,85,Tier0
P042,Payment Transaction Processing - Cross-border,Payments,Critical,5,4,5,4,<=2h,5,S042,Integrity loss,Cross-border transactions stuck in intermediate state,Finance+Legal+Reputation,4,1,10,85,Tier0
P043,Payment Transaction Processing - Standing Orders,Payments,High,4,3,3,3,<=1 business day,4,S043,Delay,Standing orders not executed on due date,Finance+Operational,24,8,60,80,Tier1
P044,IAM - API Credentials Management,Access Management,High,4,4,4,3,<=2h,4,S044,Unauthorized access,Exposure or misuse of API keys for external partners,Finance+Legal+Reputation,8,4,30,80,Tier1
P045,MFA Service - High-Value Transactions,Access Management,Critical,4,5,4,4,Immediate,5,S045,Integrity loss,Bypass or failure of step-up MFA on high-value payments,Finance+Legal+Reputation,2,0.5,5,90,Tier0
P046,Fraud Detection - Merchant Monitoring,Risk,High,4,3,4,3,<=1 business day,4,S046,Degradation,Inability to monitor merchant risk and anomalies,Finance+Operational,24,8,60,80,Tier1
P047,Core Banking Ledger - Loans,Finance,High,4,3,4,3,<=1 business day,4,S047,Outage,Loan accounts and schedules not updated,Finance+Legal+Operational,24,8,60,80,Tier1
P048,Customer Online Banking - Payment Initiation,Channels,Critical,4,5,3,4,Immediate,5,S048,Degradation,Customers can view accounts but cannot initiate payments,Reputation+Finance+Operational,2,0.5,15,90,Tier0
P049,Regulatory Reporting - Transaction Surveillance,Reporting,High,4,3,5,3,<=1 business day,4,S049,Delay,Inability to provide transaction surveillance reports on time,Legal+Finance,24,8,60,80,Tier1
P050,AML Name Screening,Risk,Critical,5,4,5,4,<=2h,5,S050,Outage,Sanctions and PEP screening engine unavailable,Legal+Finance+Reputation,4,2,30,85,Tier0
