process_id,process_name,domain,criticality_level,impact_financial_score,impact_reputational_score,impact_legal_regulatory_score,impact_operational_score,time_to_severe_impact,aggregate_impact_score,loss_scenario_id,loss_scenario_type,loss_scenario_description,affected_impact_dimensions,mtd_hours,rto_hours,rpo_minutes,minimum_operational_capacity,priority_tier
P001,API Gateway - Customer Payments,Channels,Critical,5,5,4,4,Immediate,5,S001,Outage,Full API gateway outage for retail/mobile channels during business hours,Finance+Reputation+Operational,1,0.25,5,80,Tier0
P002,API Gateway - Partner Integrations,Channels,Critical,4,4,4,4,<=2h,4,S002,Outage,API gateway down for key partner banks and PSPs,Finance+Reputation+Operational,2,1,15,80,Tier0
P003,API Gateway - Non-critical APIs,Channels,High,3,3,2,3,<=1 business day,3,S003,Degradation,Increased latency causing intermittent timeouts on secondary APIs,Finance+Operational,8,4,60,70,Tier1
P004,Payment Transaction Processing - Real-time Payments,Payments,Critical,5,5,5,4,Immediate,5,S004,Integrity loss,Transactions accepted but not posted to ledger,Finance+Legal+Reputation,1,0.25,0,90,Tier0
P005,Payment Transaction Processing - Card Payments,Payments,Critical,5,4,4,4,Immediate,5,S005,Outage,Card authorization and clearing failure at POS/e-commerce,Finance+Reputation+Operational,2,1,5,85,Tier0
P006,Payment Transaction Processing - Batch SEPA,Payments,High,4,3,4,3,<=1 business day,4,S006,Delay,End-of-day SEPA batch not processed on time,Finance+Legal+Operational,24,8,60,80,Tier1
P007,Payment Transaction Processing - Low-value Internal,Payments,Medium,3,2,2,3,<=1 business day,3,S007,Delay,Internal low-value transfers delayed until next day,Finance+Operational,48,24,240,70,Tier2
P008,IAM - Core Identity Store,Access Management,Critical,4,4,5,4,Immediate,5,S008,Outage,Identity store unavailable preventing all logins,Reputation+Legal+Operational,2,0.5,15,90,Tier0
P009,IAM - Privileged Access Management,Access Management,Critical,5,4,5,4,<=2h,5,S009,Unauthorized access,Compromise of privileged account granting broad access,Finance+Legal+Reputation,4,1,15,80,Tier0
P010,IAM - Directory Sync,Access Management,High,3,3,3,3,<=1 business day,3,S010,Integrity loss,Incorrect group memberships propagated to applications,Operational+Legal,24,8,60,75,Tier1
P011,MFA Service - Customer Channels,Access Management,Critical,4,5,4,4,Immediate,5,S011,Outage,MFA unavailable for customer login and high-risk actions,Reputation+Operational,1,0.25,5,90,Tier0
P012,MFA Service - Staff Access,Access Management,High,4,3,3,4,<=2h,4,S012,Outage,MFA outage blocking staff access to core systems,Operational+Reputation,4,2,15,80,Tier1
P013,Fraud Detection - Real-time Payments,Risk,Critical,5,4,4,4,<=2h,5,S013,Degradation,Fraud engine offline causing unfiltered payment flows,Finance+Legal+Reputation,4,2,30,85,Tier0
P014,Fraud Detection - Card Transactions,Risk,High,4,4,4,3,<=1 business day,4,S014,Degradation,Fraud rules disabled leading to increased chargebacks,Finance+Reputation,24,8,60,80,Tier1
P015,Fraud Detection - Monitoring & Reporting,Risk,Medium,3,3,3,3,>1 day,3,S015,Delay,Delayed fraud reporting to operations and compliance,Legal+Operational,72,24,240,70,Tier2
P016,Core Banking Ledger - Current Accounts,Finance,Critical,5,5,5,4,<=2h,5,S016,Outage,Core ledger unavailable for balance/booking updates,Finance+Legal+Reputation,2,1,15,90,Tier0
P017,Core Banking Ledger - Savings & Deposits,Finance,High,4,4,4,3,<=1 business day,4,S017,Outage,Savings ledger unavailable for a business day,Finance+Reputation+Legal,24,8,60,80,Tier1
